ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
14013,unknown,Fuyu,Songyuan,Jilin,China,Operating,2014,,Steel,Thrill,Sit Down,,,,,0,,
14015,unknown,Shanhaiguan,Qinhuangdao,Hebei,China,Operating,2014,,Steel,Family,Sit Down,,,,,0,,
14017,unknown,Fancheng,Xiangyang,Hubei,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
14019,Crazy Mouse / 疯狂老鼠,Yanliang,Xi'an,Shaanxi,China,Operating,2006,,Steel,Thrill,Sit Down,,,,,0,,
14021,Runaway Train,Warwick,Warwickshire,England,United Kingdom,Operating,2016-04,,Steel,Family,Sit Down,,,,,0,,
14022,unknown,Meijiang,Meizhou,Guangdong,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
14024,Light Speed / 光速之旅,Yufeng,Liuzhou,Guangxi,China,Operating,2017-07-06,,Steel,Extreme,Sit Down,2477,101.8,98.4,52.8,0,,
14027,Miner Mike,Mountasia Family Fun Center,North Richland Hills,Texas,United States,Operated,2015-08,2019,Steel,Kiddie,Sit Down,,,,,0,,
14029,Misket Coaster,Wonderland Eurasia,Ankara,Ankara,Turkey,SBNO,,2020,Steel,Family,Sit Down,,,,,0,,
14031,Spinning Coaster,Lokomotiv Park,Mirzo Ulugbek,Tashkent City,Uzbekistan,Operating,2014-03-21,,Steel,Thrill,Sit Down,,,,,0,,
14033,unknown,Akshar Dham,Gandhinagar,Gujarat,India,Operating,2002,,Steel,Family,Sit Down,,,,,0,,
14034,Jungle Roller Coaster / 丛林过山车,Shushan,Hefei,Anhui,China,Operating,2015,,Steel,Family,Sit Down,,9.5,,13.7,0,,
14036,Olma Qurti,G’afur G’ulom Nomidagi Madaniyat Va Istirohat Bog’i,Chilonzor,Tashkent City,Uzbekistan,Operating,2011,,Steel,Kiddie,Sit Down,,,,,0,,
14038,Super 8,Chelyuskintsev Park,Mogilev,Mogilev,Belarus,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
14039,Super 8,Chelyuskintsev Park,Minsk,Minsk,Belarus,Operated,1974,2008,Steel,Thrill,Sit Down,,,,,0,,
14041,Jungle Flying Squirrel / 丛林飞鼠,Donghu,Nanchang,Jiangxi,China,Operated,2016,2018,Steel,Thrill,Sit Down,,,,,0,,
14043,Jungle Flying Squirrel / 丛林飞鼠,Donghu,Nanchang,Jiangxi,China,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
14045,Hoverla / Говерлд,Oktyabrskiy Park,Chernivtsi,Chernivtsi,Ukraine,Operating,2009,,Steel,Extreme,Sit Down,,,,,1,,
14047,Fireball,Furuvik,Gävle,Gävleborg,Sweden,Operating,2017-05-20,,Steel,Family,Sit Down,689,75.5,,37.3,0,,
14048,Guangzhou Sunac Land / 广州融创乐园,Huadu,Guangzhou,Guangdong,China,Operating,2019-06-15,,,,,,,,,,,
14052,Arashi / 嵐,Nagashima Spa Land,Kuwana,Mie,Japan,Operating,2017-03-10,,Steel,Extreme,Wing,1019,120,54,38,0,,
14054,Funder Park,Dawlish,Devon,England,United Kingdom,Operating,2003,,,,,,,,,,,
14055,Happy Caterpiller,Dawlish,Devon,England,United Kingdom,Operated,2015-05-23,2015,Steel,Family,Sit Down,,,,,0,,
