ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
11679,unknown,Twin Fair Kiddieland,Depew,New York,United States,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
11681,unknown,Dwyer Memorial Park,Homer,New York,United States,Operated,,,Steel,,Sit Down,,,,,0,,
11683,Gusanito,City Park,Tegucigalpa,Francisco Morazán,Honduras,Operating,2013,,Steel,Kiddie,Sit Down,,,,,0,,
11685,unknown,Chengguan,Lanzhou,Gansu,China,Operating,2009,,Steel,Family,Sit Down,,,,,0,,
11687,Gusanito,City Park,San Pedro Sula,Cortés,Honduras,Operating,2013,,Steel,Kiddie,Sit Down,,,,,0,,
11689,unknown,Parque Mickey Mouse,Maracaibo,Zulia,Venezuela,Operating,2001,,Steel,Family,Sit Down,,,,,0,,
11691,Over The Rockies,Golden City,Brooklyn,New York,United States,Operated,1907,1914,Wood,,Sit Down,4200,,,,0,,
11692,Coliseum Coaster,Golden City,Brooklyn,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11693,Giant Coaster,Golden City,Brooklyn,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11695,unknown,Starlight Amusement Park,Bronx,New York,United States,Operated,1918,1922,Wood,,Sit Down,,,,,0,,
11697,Forest Coaster,Fairyland Park,Bronx,New York,United States,Operated,1912,1935,Wood,,Sit Down,,,,,0,,
11698,unknown,Fairyland Park,Bronx,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11700,unknown,Gala Park,Jackson Heights,New York,United States,Operated,1901,1903,Wood,,Sit Down,,,,,0,,
11702,unknown,Stella Park,Jackson Heights,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11703,unknown,Stella Park,Jackson Heights,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11705,unknown,North Beach - Independent Vendor 1,Jackson Heights,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11707,Cupid Coaster,North Beach - Independent Vendor 2,Jackson Heights,New York,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11709,Gusanito de Fantasiland,Fantasiland,Guatemala City,Guatemala,Guatemala,Operated,2002,2015,Steel,Family,Sit Down,,,,,0,,
11710,Loop the Loop,Forest Park Highlands Amusement Park,St. Louis,Missouri,United States,Operated,1903,1903,Wood,Extreme,Sit Down,,,,,1,,
11712,Gold mine coaster,Fantasiland,Barranquilla,Atlántico,Colombia,Operated,,,Steel,Family,Sit Down,,,,,0,,
11713,Gliding Dragon / 滑行龙,Xincheng,Xi'an,Shaanxi,China,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
11715,Spinning Coaster / 自旋滑车,Yuhua,Shijiazhuang,Hebei,China,Operating,2010,,Steel,Thrill,Sit Down,,,,,0,,
11717,unknown,Bincheng,Binzhou,Shandong,China,Operating,2006,,Steel,Thrill,Sit Down,,,,,0,,
11719,unknown,Zhifu,Yantai,Shandong,China,Operating,2009,,Steel,Extreme,Sit Down,,,,46.6,3,,
11721,unknown,Laixi,Qingdao,Shandong,China,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
11722,Golden Dragon Roller Coaster / 金龙滑车,Foreigner Street,Nan'an,Chongqing,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
11723,Gliding Dragon / 滑行龙 / Huá Xíng Lóng,Beilin,Xi'an,Shaanxi,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
11724,unknown,Shunqing,Nanchong,Sichuan,China,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
11725,Flying Toboggan,Crescent Park,Riverside,Rhode Island,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11726,Scenic Railway,Crescent Park,Riverside,Rhode Island,United States,Operated,,,Wood,,Sit Down,,,,,0,,
11728,Coaster,White City,Binghamton,New York,United States,Operated,1902,1910,Wood,,Sit Down,,,,,0,,
11729,Scenic Railway,Rockaway Beach,Rockaway Beach,New York,United States,Operated,1904,1908,Wood,,Sit Down,,,,,0,,
11730,Switchback Railway,Rockaway Beach,Rockaway Beach,New York,United States,Operated,1893,1903,Wood,,Sit Down,,,,,0,,
11731,Steeplechase,Steeplechase Park,Rockaway Beach,New York,United States,Operated,,,Steel,,Sit Down,,,,,0,,
11732,Jack Rabbit,Rockaways' Playland,Rockaway Beach,New York,United States,Operated,1932,1932,Wood,,Sit Down,,,,,0,,
11736,Roller Coaster,Sparky's Family Entertainment Centre,Dubai,Dubai,United Arab Emirates,Operated,2013-10-01,2019,Steel,Family,Sit Down,1010.5,,,22.4,0,,1:40
11737,Stress Express / 极地快车,Huaiyin,Jinan,Shandong,China,Operating,2015-04-29,,Steel,Extreme,Sit Down,935,116.5,,47,3,,1:48
11738,Stress Express / 极地快车,Shifeng,Zhuzhou,Hunan,China,Operating,2016-08-18,,Steel,Extreme,Sit Down,935,116.5,,47,3,,1:48
11739,Stress Express / 极地快车,Jiujiang,Wuhu,Anhui,China,Operating,2015-08-16,,Steel,Extreme,Sit Down,935,116.5,,47,3,,1:48
11740,Miniwah,Freizeitpark Plohn,Lengenfeld,Saxony,Germany,Operating,2015-05-24,,Steel,Family,Sit Down,864,,,,0,,
11743,Oruga,Parque de la Selva,León,Guanajuato,Mexico,Operating,2006,,Steel,Kiddie,Sit Down,,,,,0,,
11744,Spinning Coaster,Parque de la Selva,León,Guanajuato,Mexico,Operating,2006,,Steel,Thrill,Sit Down,,,,,0,,
11746,unknown,Akhisar Luna Park,Akhisar,Manisa,Turkey,Operated,,,Steel,Family,Sit Down,,,,,0,,
11748,unknown,Marah Land,Al Wakrah,Al Wakrah,Qatar,Operated,,,Steel,Family,Sit Down,,,,,0,,
11750,Nessi Roller Coaster,Carron Dream Park,San Isidro,Nueva Ecija,Philippines,Operating,2012,,Steel,Family,Sit Down,,,,,0,,
11751,Dream Liner,Carron Dream Park,San Isidro,Nueva Ecija,Philippines,Operated,,,Steel,Extreme,Sit Down,,,,,1,,
11752,unknown,Hualong,Puyang,Henan,China,Operating,2010,,Steel,Family,Sit Down,,,,,0,,
11753,unknown,Hualong,Puyang,Henan,China,Operating,2013-07,,Steel,Extreme,Sit Down,,,,,3,,
11756,Shuttle / 太空飞车,Qingxiu,Nanning,Guangxi,China,Operating,2002,,Steel,Family,Sit Down,,,,,0,,
11757,Rotating Coaster / 自旋滑车,Qingxiu,Nanning,Guangxi,China,Operating,2002,,Steel,Thrill,Sit Down,,,,,0,,
11758,Worm Around / 果虫滑车,Tong'an,Xiamen,Fujian,China,Operating,2013-04-28,,Steel,Kiddie,Sit Down,,,,,0,,
11760,Fiesta Express,Austin's Park N Pizza,Pflugerville,Texas,United States,Operating,2013-12,,Steel,Family,Sit Down,262,8,,,0,,
11762,unknown,Yuanzhou,Guyuan,Ningxia Hui,China,Operating,2000,,Steel,Thrill,Sit Down,,,,,0,,
11764,unknown,Dongbao,Jingmen,Hubei,China,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
11766,unknown,Boshan,Zibo,Shandong,China,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
11768,unknown,Beidaihe,Qinhuangdao,Hebei,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
11770,unknown,Danyang,Zhenjiang,Jiangsu,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
11772,Flare Meteor / 火流星,Fantawild Adventure,Binhai,Tianjin,China,Operating,2014-07-06,,Steel,Extreme,Inverted,,,,,4,,
11774,unknown,White Horse Amusement Park,Shahroud,Semnan,Iran,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
11776,Dragon Coaster,EVP World,Chembarambakkam,Tamil Nadu,India,Operated,2011,2013,Steel,Family,Sit Down,,,,,0,,
11778,Crazy Mouse / 疯狂鼠,Tong'an,Xiamen,Fujian,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
11780,Family Coaster,Children's Park East,Temirtau,Karaganda,Kazakhstan,Operating,2008,,Steel,Family,Sit Down,452.8,12.3,,,0,,0:55
11782,Sky Train,Yatanabon Park,Mandalay,Mandalay,Myanmar,Operated,1999,2016,Steel,Family,Sit Down,,,,,0,,
11784,unknown,Xinluo,Longyan,Fujian,China,Operating,2005,,Steel,Family,Sit Down,,,,,0,,
11786,unknown,Uşak Lunapark,Uşak,Uşak,Turkey,Operated,,,Steel,Family,Sit Down,,,,,0,,
11788,Tren,Küçükçekmece,Istanbul,Istanbul,Turkey,Operated,,,Steel,Family,Sit Down,,,,,0,,
11790,unknown,Lunapark,Karabük,Karabük,Turkey,Operating,2005,,Steel,Family,Sit Down,,,,,0,,
11792,unknown,Linghe,Jinzhou,Liaoning,China,Operating,2009,,Steel,Thrill,Sit Down,,,,,0,,
11794,unknown,Meihekou,Tonghua,Jilin,China,Operating,2012,,Steel,Thrill,Sit Down,,,,,0,,
11796,unknown,Xiangcheng,Zhoukou,Henan,China,Operating,2012,,Steel,Family,Sit Down,,,,,0,,
11797,unknown,Shuyang,Suqian,Jiangsu,China,Operating,2010,,Steel,Thrill,Sit Down,,,,,0,,
11799,unknown,Lunapark,Bahşılı,Kırıkkale,Turkey,Operated,,,Steel,Family,Sit Down,,,,,0,,
11801,Dragon,Lunapark,İnegöl,Bursa,Turkey,Operating,2010,,Steel,Family,Sit Down,,,,,0,,
11803,Family Coaster,Lompi Family Park,Batna,Batna,Algeria,Operating,2008-06-12,,Steel,Family,Sit Down,452.8,12.3,,,0,,0:55
11805,Brucomela,Parc d'attraction Chlef,Chlef,Chlef,Algeria,Operating,2006,,Steel,Family,Sit Down,,,,,0,,
11807,unknown,Suifenhe,Mudanjiang,Heilongjiang,China,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
11811,unknown,Hardy's World,Ludhiana,Punjab,India,Operated,2000,2015,Steel,Family,Sit Down,,,,,0,,
11812,Water Shoot,Hardy's World,Ludhiana,Punjab,India,Operating,2004,,Steel,Thrill,Sit Down,,,,,0,,
11815,unknown,Al Salam Theme Park,Abha,'Asir,Saudi Arabia,Operating,2004,,Steel,Family,Sit Down,,,,,0,,
11817,unknown,Flora Fantasia Amusement Park,Moorkkanad,Kerala,India,Operating,2013,,Steel,Kiddie,Sit Down,,,,,0,,
11819,Family Coaster,Kosar Park,Tabriz,East Azarbaijan,Iran,Operating,2013,,Steel,Family,Sit Down,,,,,0,,
11821,Roller Coaster,River City Park,Isfahan,Isfahan,Iran,Operating,2001,,Steel,Kiddie,Sit Down,,,,,0,,
11823,Children Roller Coaster,Narimanov Park,Baku,Absheron,Azerbaijan,Operating,2008,,Steel,Family,Sit Down,,,,,0,,
11825,Roller Coaster,Haiyan,Jiaxing,Zhejiang,China,Operating,2004,,Steel,Family,Sit Down,,,,,0,,
11827,Flyer,Sunnyside Amusement Park,Toronto,Ontario,Canada,Operated,1922,1955,Wood,,Sit Down,,,,,0,,
11829,unknown,Huangshigang,Huangshi,Hubei,China,Operating,2009,,Steel,Family,Sit Down,,,,,0,,
11830,unknown,Huangshigang,Huangshi,Hubei,China,Operating,2009,,Steel,Thrill,Sit Down,,,,,0,,
11832,unknown,Shaodong,Shaoyang,Hunan,China,Operating,2008,,Steel,Family,Sit Down,,,,,0,,
11833,Cocoa Cruiser,Hersheypark,Hershey,Pennsylvania,United States,Operating,2014-05-10,,Steel,Family,Sit Down,,,,,0,,
11834,Marble Madness,Lowestoft,Suffolk,England,United Kingdom,Operating,2014-06-27,,Steel,Thrill,Sit Down,1213.9,49.3,,28,0,46,1:10
11836,Roller Coaster / 过山车,Huidong,Huizhou,Guangdong,China,Operating,2012,,Steel,Thrill,Sit Down,,23,,21.8,0,,
11838,Roller Coaster / 过山车,Xinjian,Nanchang,Jiangxi,China,Operating,2011-01,,Steel,Extreme,Sit Down,,,,,2,,
11839,Black Hole,Freizeit-Land Geiselwind,Geiselwind,Bavaria,Germany,Operated,2014-04-12,2014-09-14,Steel,Thrill,Sit Down,1259.8,22.7,,25.5,0,,1:15
11841,unknown,Chaonan,Shantou,Guangdong,China,Operated,,,Steel,Family,Sit Down,,,,,0,,
11843,unknown,Chikan,Zhanjiang,Guangdong,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
11845,Gliding Dragon / 滑行龙 / Huá Xíng Lóng,Dali,Dali,Yunnan,China,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
11847,unknown,Weibin,Baoji,Shaanxi,China,Operating,2009,,Steel,Thrill,Sit Down,,,,,0,,
11849,unknown,Dadong,Shenyang,Liaoning,China,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
