ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
4828,Joyland Childrens Fun Park,Great Yarmouth,Norfolk,England,United Kingdom,Operating,1949,,,,,,,,,,,
4829,Spanish City Amusement Park,Whitley Bay,Tyne and Wear,England,United Kingdom,Operated,1899,2000,,,,,,,,,,
4830,Seaburn Fun Park,Sunderland,Tyne and Wear,England,United Kingdom,Operated,,,,,,,,,,,,
4836,Adventure Island,Southend On Sea,Essex,England,United Kingdom,Operating,1918,,,,,,,,,,,
4837,New MetroLand,Gateshead,Tyne and Wear,England,United Kingdom,Operated,1988-02,2008-04-20,,,,,,,,,,
4845,Hafan y Môr Holiday Park,Pwllheli,Gwynedd,Wales,United Kingdom,Operating,1947-03-29,,,,,,,,,,,
4846,Bobbejaanland,Lichtaart,Antwerp,Flemish Region,Belgium,Operating,1961-12-31,,,,,,,,,,,
4847,Walibi Belgium,Wavre,Walloon Brabant,Wallonia,Belgium,Operating,1975-07-26,,,,,,,,,,,
4848,Bellewaerde,Ypres,West Flanders,Flemish Region,Belgium,Operating,1954-07-03,,,,,,,,,,,
4849,Plopsa Coo,Stavelot,Liège,Wallonia,Belgium,Operating,1976,,,,,,,,,,,
4850,Plopsaland De Panne,Adinkerke-De Panne,West Flanders,Flemish Region,Belgium,Operating,1935,,,,,,,,,,,
4851,Boudewijn Seapark,Bruges,West Flanders,Flemish Region,Belgium,Operating,1963,,,,,,,,,,,
4862,Brean Theme Park,Brean,Somerset,England,United Kingdom,Operating,1970,,,,,,,,,,,
4863,Harbour Park,Littlehampton,West Sussex,England,United Kingdom,Operating,1932,,,,,,,,,,,
4867,Isla Mágica,Seville,Seville,Andalusia,Spain,Operating,1997-06-28,,,,,,,,,,,
4914,Loudoun Castle,Galston,East Ayrshire,Scotland,United Kingdom,SBNO,,2011,,,,,,,,,,
4928,Parque de Atracciones de Madrid,Madrid,Madrid,Community of Madrid,Spain,Operating,1969-05-15,,,,,,,,,,,
4963,Kobe Portopialand / 神戸ポートピアランド,Chuo,Kobe,Hyōgo,Japan,Operated,1981-03-20,2006-03-31,,,,,,,,,,
5028,Parque Warner Madrid,San Martín de la Vega,Madrid,Community of Madrid,Spain,Operating,2002-04-06,,,,,,,,,,,
5032,Craig Tara Holiday Park,Ayr,South Ayrshire,Scotland,United Kingdom,Operating,1947-05-17,,,,,,,,,,,
5166,Happy Valley / 欢乐谷,Nanshan,Shenzhen,Guangdong,China,Operating,1998-10-01,,,,,,,,,,,
5179,Higashiyama Zoo and Botanical Gardens / 東山動植物園,Chikusa,Nagoya,Aichi,Japan,Operating,,,,,,,,,,,,
5208,Window of the World / 世界之窗,Kaifu,Changsha,Hunan,China,Operating,1997-10-16,,,,,,,,,,,
5268,Dunes Leisure,Mablethorpe,Lincolnshire,England,United Kingdom,Operating,2003,,,,,,,,,,,
5277,Battersea Fun Fair,Battersea,Greater London,England,United Kingdom,Operated,,,,,,,,,,,,
5279,Hong Kong Disneyland / 迪士尼香港,Islands,New Territories,Hong Kong,China,Operating,2005-09-12,,,,,,,,,,,
5423,Wheelgate Adventure Park,Farnsfield,Nottinghamshire,England,United Kingdom,Operating,,,,,,,,,,,,
5438,Granada Studios,Manchester,Greater Manchester,England,United Kingdom,Operated,,,,,,,,,,,,
5492,Universal Studios Japan / ユニバーサル・スタジオ・ジャパン,Konohana,Osaka,Osaka,Japan,Operating,2001-03-31,,,,,,,,,,,
5534,Amazing World / 欢笑天地,Wanjiang,Dongguan,Guangdong,China,Operating,2004-10,,,,,,,,,,,
5537,Trentham,Stoke-on-Trent,Staffordshire,England,United Kingdom,Operating,,,,,,,,,,,,
5595,New Brighton Funfair,New Brighton,Merseyside,England,United Kingdom,Operating,,,,,,,,,,,,
5598,ZoetWaterPark,Oud-Heverlee,Flemish Brabant,Flemish Region,Belgium,Operating,,,,,,,,,,,,
5630,Holiday World - Wooland Fun Park,Maspalomas,Las Palmas,Canary Islands,Spain,Operating,2004,,,,,,,,,,,
5642,Adventure Wonderland,Christchurch,Dorset,England,United Kingdom,Operating,,,,,,,,,,,,
5650,Glasgow Garden Festival,Glasgow,Glasgow,Scotland,United Kingdom,Operated,,,,,,,,,,,,
5656,Chengdu Amusement Park / 成都游乐园,Chenghua,Chengdu,Sichuan,China,Operated,1986-05-01,2008-10-01,,,,,,,,,,
5657,Euro Mir,Mack Rides GmbH & Co KG,Waldkirch,Baden-Württemberg,Germany,In Production,,,,,,,,,,,,
5659,Southcoast World,Bognor Regis,West Sussex,England,United Kingdom,Operating,1960-06-02,,,,,,,,,,,
5660,Butlins,Skegness,Lincolnshire,England,United Kingdom,Operating,1936-04-11,,,,,,,,,,,
5696,Atlas Park,Clacton-on-sea,Essex,England,United Kingdom,Operated,1938-06-11,1984,,,,,,,,,,
